method,T1,T6,T7,T8,v,area,feasible,v_up_max,v_down_max,t_150_190,t_above_217,T_peak,t_peak
Differential Evolution,177.775306067411,202.1802693700767,237.54187477012078,264.9989089737936,89.79304455965763,516.8827058412065,True,2.759461691997654,-1.8079682845265097,94.0,58.0,240.10251402329777,235.5
Simulated Annealing best(seed=99),169.7995562779489,190.73845733029574,238.33568698477052,265.0,85.65917485839856,509.4526752903232,True,2.6080089683684555,-1.7982660630388523,91.0,58.0,240.0545493854055,246.5
