iter,temperature,objective,area,violation,feasible,best_area
0,500.0,513.9600582553477,513.9478348904088,1.2223364938902027e-07,False,nan
1,499.0,513.9600582553477,513.9478348904088,1.2223364938902027e-07,False,nan
2,498.002,600.0172738993872,600.0172738993872,0.0,True,600.0172738993872
3,497.005996,600.0172738993872,600.0172738993872,0.0,True,600.0172738993872
4,496.01198400799996,714.7861585963972,714.7861585963972,0.0,True,600.0172738993872
5,495.01996003998397,610.9037620908985,610.9037620908985,0.0,True,600.0172738993872
6,494.029920119904,546.184423733119,546.184423733119,0.0,True,546.184423733119
7,493.04186027966415,660.1358562721756,660.1358562721756,0.0,True,546.184423733119
8,492.0557765591048,611.6318152961124,611.6318152961124,0.0,True,546.184423733119
9,491.0716650059866,611.6318152961124,611.6318152961124,0.0,True,546.184423733119
10,490.0895216759746,932.6118218988353,932.6118218988353,0.0,True,546.184423733119
11,489.10934263262266,732.6528478649711,732.6528478649711,0.0,True,546.184423733119
12,488.1311239473574,1050.4093313579822,575.9289251544146,0.004744804062035676,False,546.184423733119
13,487.1548616994627,676.5406322021437,676.5406322021437,0.0,True,546.184423733119
14,486.1805519760638,1162.441739701717,1051.330628590606,0.0011111111111111111,False,546.184423733119
15,485.20819087211163,892.5320499291819,892.5320499291819,0.0,True,546.184423733119
16,484.2377744903674,762.722526816372,762.722526816372,0.0,True,546.184423733119
17,483.2692989413867,762.722526816372,762.722526816372,0.0,True,546.184423733119
18,482.3027603435039,716.948961154419,716.948961154419,0.0,True,546.184423733119
19,481.3381548228169,723.1352865200291,723.1352865200291,0.0,True,546.184423733119
20,480.37547851317123,723.1352865200291,723.1352865200291,0.0,True,546.184423733119
21,479.4147275561449,1251.561018251094,807.1165738066496,0.0044444444444444444,False,546.184423733119
22,478.45589810103263,1251.561018251094,807.1165738066496,0.0044444444444444444,False,546.184423733119
23,477.49898630483057,741.3248199291336,741.3248199291336,0.0,True,546.184423733119
24,476.5439883322209,543.7014859150012,543.7014859150012,0.0,True,543.7014859150012
25,475.59090035555647,543.7014859150012,543.7014859150012,0.0,True,543.7014859150012
26,474.63971855484533,571.4889201322546,571.4835312499152,5.3888823394169826e-08,False,543.7014859150012
27,473.69043911773565,571.4889201322546,571.4835312499152,5.3888823394169826e-08,False,543.7014859150012
