method,T1,T6,T7,T8,v,area,total_area_above_217,symmetry_error,A_norm,D_norm,J,alpha,area_scale,feasible,violation,v_up_max,v_down_max,t_150_190,t_above_217,T_peak,t_peak
Differential Evolution,178.1691249723459,190.8362509621636,244.33562058740316,264.999942939672,89.79290719833512,516.8231163600155,818.5391506148474,0.26275361002636743,0.6460288954500194,0.26275361002636743,0.5310463098229238,0.7,800.0,True,0.0,2.7665747004056023,-1.8079632718194603,96.0,58.0,240.1019130299423,235.5
Simulated Annealing best(seed=1),178.04513009919958,193.5592310460971,239.99840045105654,264.64395374854087,88.5527289779635,513.2827831388017,822.1154334968113,0.24966419289787092,0.6416034789235021,0.24966419289787092,0.5240216931158127,0.7,800.0,True,0.0,2.7625645738870688,-1.804571063847419,98.0,58.0,240.03223180944278,238.5
