iter,temperature,objective,J,best_J,best_objective,area,total_area_above_217,symmetry_error,A_norm,D_norm,violation,feasible
0,3.0,0.7834177148122583,0.7834177148122583,0.7761231535617352,0.7761231535617352,783.3431465457338,1178.7971747071672,0.3266415386158038,0.9791789331821673,0.3266415386158038,0.0,True
1,2.985,0.5874976861264711,0.5874976861264711,0.5874976861264711,0.5874976861264711,589.9303832158927,956.7764122528824,0.23769533604188364,0.7374129790198658,0.23769533604188364,0.0,True
2,2.970075,0.5498369631223666,0.5498369631223666,0.5498369631223666,0.5498369631223666,547.3205595147142,889.1238008933747,0.23643824515663908,0.6841506993933928,0.23643824515663908,0.0,True
3,2.955224625,0.5498369631223666,0.5498369631223666,0.5498369631223666,0.5498369631223666,547.3205595147142,889.1238008933747,0.23643824515663908,0.6841506993933928,0.23643824515663908,0.0,True
4,2.940448501875,0.8017489927462953,0.8017489927462953,0.5498369631223666,0.5498369631223666,818.0306131005523,1270.3181373967436,0.2865740209443739,1.0225382663756903,0.2865740209443739,0.0,True
5,2.925746259365625,0.8017489927462953,0.8017489927462953,0.5498369631223666,0.5498369631223666,818.0306131005523,1270.3181373967436,0.2865740209443739,1.0225382663756903,0.2865740209443739,0.0,True
6,2.911117528068797,0.8017489927462953,0.8017489927462953,0.5498369631223666,0.5498369631223666,818.0306131005523,1270.3181373967436,0.2865740209443739,1.0225382663756903,0.2865740209443739,0.0,True
7,2.896561940428453,0.6704154497038117,0.6704154497038117,0.5498369631223666,0.5498369631223666,663.7048804334737,1018.7919405558523,0.2989122644150744,0.8296311005418421,0.2989122644150744,0.0,True
8,2.8820791307263107,0.6704154497038117,0.6704154497038117,0.5498369631223666,0.5498369631223666,663.7048804334737,1018.7919405558523,0.2989122644150744,0.8296311005418421,0.2989122644150744,0.0,True
9,2.8676687350726793,0.6233732457893361,0.6233732457893361,0.5498369631223666,0.5498369631223666,623.7886000128107,991.7473153853065,0.25852740259375595,0.7797357500160134,0.25852740259375595,0.0,True
10,2.853330391397316,0.7222916711928117,0.7222916711928117,0.5498369631223666,0.5498369631223666,723.2956402399302,1112.0928168624057,0.2980266199429092,0.9041195502999128,0.2980266199429092,0.0,True
11,2.8390637394403293,0.7222916711928117,0.7222916711928117,0.5498369631223666,0.5498369631223666,723.2956402399302,1112.0928168624057,0.2980266199429092,0.9041195502999128,0.2980266199429092,0.0,True
12,2.824868420743128,0.7222916711928117,0.7222916711928117,0.5498369631223666,0.5498369631223666,723.2956402399302,1112.0928168624057,0.2980266199429092,0.9041195502999128,0.2980266199429092,0.0,True
13,2.810744078639412,0.7222916711928117,0.7222916711928117,0.5498369631223666,0.5498369631223666,723.2956402399302,1112.0928168624057,0.2980266199429092,0.9041195502999128,0.2980266199429092,0.0,True
14,2.796690358246215,0.6338678516038736,0.6338678516038736,0.5498369631223666,0.5498369631223666,639.3936233218296,1025.5997682587688,0.24799477065757586,0.799242029152287,0.24799477065757586,0.0,True
15,2.7827069064549836,0.6338678516038736,0.6338678516038736,0.5498369631223666,0.5498369631223666,639.3936233218296,1025.5997682587688,0.24799477065757586,0.799242029152287,0.24799477065757586,0.0,True
16,2.7687933719227087,0.6338678516038736,0.6338678516038736,0.5498369631223666,0.5498369631223666,639.3936233218296,1025.5997682587688,0.24799477065757586,0.799242029152287,0.24799477065757586,0.0,True
17,2.754949405063095,0.6338678516038736,0.6338678516038736,0.5498369631223666,0.5498369631223666,639.3936233218296,1025.5997682587688,0.24799477065757586,0.799242029152287,0.24799477065757586,0.0,True
18,2.7411746580377794,0.6796837234094394,0.6796837234094394,0.5498369631223666,0.5498369631223666,683.5660457002414,1073.8183745285348,0.2718781114057607,0.8544575571253017,0.2718781114057607,0.0,True
19,2.7274687847475905,0.6796837234094394,0.6796837234094394,0.5498369631223666,0.5498369631223666,683.5660457002414,1073.8183745285348,0.2718781114057607,0.8544575571253017,0.2718781114057607,0.0,True
20,2.7138314408238524,0.6796837234094394,0.6796837234094394,0.5498369631223666,0.5498369631223666,683.5660457002414,1073.8183745285348,0.2718781114057607,0.8544575571253017,0.2718781114057607,0.0,True
21,2.700262283619733,0.6796837234094394,0.6796837234094394,0.5498369631223666,0.5498369631223666,683.5660457002414,1073.8183745285348,0.2718781114057607,0.8544575571253017,0.2718781114057607,0.0,True
22,2.6867609722016343,0.6796837234094394,0.6796837234094394,0.5498369631223666,0.5498369631223666,683.5660457002414,1073.8183745285348,0.2718781114057607,0.8544575571253017,0.2718781114057607,0.0,True
23,2.6733271673406263,0.6796837234094394,0.6796837234094394,0.5498369631223666,0.5498369631223666,683.5660457002414,1073.8183745285348,0.2718781114057607,0.8544575571253017,0.2718781114057607,0.0,True
24,2.659960531503923,0.6753323758651639,0.6753323758651639,0.5498369631223666,0.5498369631223666,662.5594288415484,1002.6874264825128,0.3186429187626971,0.8281992860519355,0.3186429187626971,0.0,True
25,2.6466607288464035,0.6753323758651639,0.6753323758651639,0.5498369631223666,0.5498369631223666,662.5594288415484,1002.6874264825128,0.3186429187626971,0.8281992860519355,0.3186429187626971,0.0,True
26,2.6334274252021714,0.6753323758651639,0.6753323758651639,0.5498369631223666,0.5498369631223666,662.5594288415484,1002.6874264825128,0.3186429187626971,0.8281992860519355,0.3186429187626971,0.0,True
27,2.6202602880761607,0.5504361785049379,0.5504361785049379,0.5498369631223666,0.5498369631223666,541.9678664394796,862.8645219038592,0.2540476512346438,0.6774598330493495,0.2540476512346438,0.0,True
28,2.60715898663578,0.5860901879990558,0.5860901879990558,0.5498369631223666,0.5498369631223666,565.4737819911747,865.71520785978,0.30433542918925965,0.7068422274889684,0.30433542918925965,0.0,True
29,2.594123191702601,0.6096696222129697,0.6096696222129697,0.5498369631223666,0.5498369631223666,614.568103503982,992.9412670430148,0.23974177215661846,0.7682101293799775,0.23974177215661846,0.0,True
30,2.581152575744088,0.6096696222129697,0.6096696222129697,0.5498369631223666,0.5498369631223666,614.568103503982,992.9412670430148,0.23974177215661846,0.7682101293799775,0.23974177215661846,0.0,True
31,2.5682468128653673,0.6217519172703283,0.6217519172703283,0.5498369631223666,0.5498369631223666,600.7690942701538,909.3395984595345,0.32026319927981245,0.7509613678376923,0.32026319927981245,0.0,True
32,2.5554055788010404,0.6217519172703283,0.6217519172703283,0.5498369631223666,0.5498369631223666,600.7690942701538,909.3395984595345,0.32026319927981245,0.7509613678376923,0.32026319927981245,0.0,True
33,2.542628550907035,0.6217519172703283,0.6217519172703283,0.5498369631223666,0.5498369631223666,600.7690942701538,909.3395984595345,0.32026319927981245,0.7509613678376923,0.32026319927981245,0.0,True
34,2.5299154081525,0.6217519172703283,0.6217519172703283,0.5498369631223666,0.5498369631223666,600.7690942701538,909.3395984595345,0.32026319927981245,0.7509613678376923,0.32026319927981245,0.0,True
35,2.5172658311117377,0.6217519172703283,0.6217519172703283,0.5498369631223666,0.5498369631223666,600.7690942701538,909.3395984595345,0.32026319927981245,0.7509613678376923,0.32026319927981245,0.0,True
36,2.504679501956179,0.6217519172703283,0.6217519172703283,0.5498369631223666,0.5498369631223666,600.7690942701538,909.3395984595345,0.32026319927981245,0.7509613678376923,0.32026319927981245,0.0,True
37,2.4921561044463982,0.6249032586837043,0.6249032586837043,0.5498369631223666,0.5498369631223666,605.4031614047911,917.5381862645852,0.3172516415150406,0.7567539517559889,0.3172516415150406,0.0,True
38,2.479695323924166,0.6249032586837043,0.6249032586837043,0.5498369631223666,0.5498369631223666,605.4031614047911,917.5381862645852,0.3172516415150406,0.7567539517559889,0.3172516415150406,0.0,True
39,2.4672968473045453,0.601624981342699,0.601624981342699,0.5498369631223666,0.5498369631223666,580.4520338063159,883.757467837582,0.31243150587390855,0.7255650422578949,0.31243150587390855,0.0,True
40,2.4549603630680226,0.601624981342699,0.601624981342699,0.5498369631223666,0.5498369631223666,580.4520338063159,883.757467837582,0.31243150587390855,0.7255650422578949,0.31243150587390855,0.0,True
41,2.4426855612526825,0.601624981342699,0.601624981342699,0.5498369631223666,0.5498369631223666,580.4520338063159,883.757467837582,0.31243150587390855,0.7255650422578949,0.31243150587390855,0.0,True
42,2.430472133446419,0.601624981342699,0.601624981342699,0.5498369631223666,0.5498369631223666,580.4520338063159,883.757467837582,0.31243150587390855,0.7255650422578949,0.31243150587390855,0.0,True
43,2.418319772779187,0.601624981342699,0.601624981342699,0.5498369631223666,0.5498369631223666,580.4520338063159,883.757467837582,0.31243150587390855,0.7255650422578949,0.31243150587390855,0.0,True
44,2.406228173915291,0.601624981342699,0.601624981342699,0.5498369631223666,0.5498369631223666,580.4520338063159,883.757467837582,0.31243150587390855,0.7255650422578949,0.31243150587390855,0.0,True
45,2.3941970330457147,0.601624981342699,0.601624981342699,0.5498369631223666,0.5498369631223666,580.4520338063159,883.757467837582,0.31243150587390855,0.7255650422578949,0.31243150587390855,0.0,True
46,2.382226047880486,0.601624981342699,0.601624981342699,0.5498369631223666,0.5498369631223666,580.4520338063159,883.757467837582,0.31243150587390855,0.7255650422578949,0.31243150587390855,0.0,True
47,2.3703149176410836,0.601624981342699,0.601624981342699,0.5498369631223666,0.5498369631223666,580.4520338063159,883.757467837582,0.31243150587390855,0.7255650422578949,0.31243150587390855,0.0,True
48,2.358463343052878,0.601624981342699,0.601624981342699,0.5498369631223666,0.5498369631223666,580.4520338063159,883.757467837582,0.31243150587390855,0.7255650422578949,0.31243150587390855,0.0,True
49,2.3466710263376136,0.6251039068499322,0.6251039068499322,0.5498369631223666,0.5498369631223666,610.0377315980214,933.7733969227265,0.304402972338878,0.7625471644975268,0.304402972338878,0.0,True
50,2.3349376712059255,0.6727308781629951,0.6727308781629951,0.5498369631223666,0.5498369631223666,674.933480710298,1058.8834992549625,0.27388027513828145,0.8436668508878725,0.27388027513828145,0.0,True
51,2.323262982849896,0.6855145636172796,0.6855145636172796,0.5498369631223666,0.5498369631223666,698.1881033903563,1122.1369166120867,0.24866657716905938,0.8727351292379454,0.24866657716905938,0.0,True
52,2.3116466679356464,0.5867486011347902,0.5867486011347902,0.5498369631223666,0.5498369631223666,565.8195804228341,866.5958445250251,0.3055215608827014,0.7072744755285426,0.3055215608827014,0.0,True
53,2.3000884345959682,0.6771971338137254,0.6771971338137254,0.5498369631223666,0.5498369631223666,678.9508244918454,1061.9322582939442,0.27705054127786904,0.8486885306148068,0.27705054127786904,0.0,True
54,2.2885879924229884,0.6771971338137254,0.6771971338137254,0.5498369631223666,0.5498369631223666,678.9508244918454,1061.9322582939442,0.27705054127786904,0.8486885306148068,0.27705054127786904,0.0,True
55,2.2771450524608734,0.6771971338137254,0.6771971338137254,0.5498369631223666,0.5498369631223666,678.9508244918454,1061.9322582939442,0.27705054127786904,0.8486885306148068,0.27705054127786904,0.0,True
56,2.265759327198569,0.6771971338137254,0.6771971338137254,0.5498369631223666,0.5498369631223666,678.9508244918454,1061.9322582939442,0.27705054127786904,0.8486885306148068,0.27705054127786904,0.0,True
57,2.2544305305625763,0.6771971338137254,0.6771971338137254,0.5498369631223666,0.5498369631223666,678.9508244918454,1061.9322582939442,0.27705054127786904,0.8486885306148068,0.27705054127786904,0.0,True
58,2.2431583779097632,0.7163085228770842,0.7163085228770842,0.5498369631223666,0.5498369631223666,709.3564564204005,1075.5952952303107,0.3187387450307797,0.8866955705255006,0.3187387450307797,0.0,True
59,2.2319425860202142,0.7163085228770842,0.7163085228770842,0.5498369631223666,0.5498369631223666,709.3564564204005,1075.5952952303107,0.3187387450307797,0.8866955705255006,0.3187387450307797,0.0,True
60,2.2207828730901134,0.5761099143053081,0.5761099143053081,0.5498369631223666,0.5498369631223666,570.066407174503,905.5288866006573,0.2576726934253938,0.7125830089681287,0.2576726934253938,0.0,True
61,2.2096789587246626,0.5761099143053081,0.5761099143053081,0.5498369631223666,0.5498369631223666,570.066407174503,905.5288866006573,0.2576726934253938,0.7125830089681287,0.2576726934253938,0.0,True
62,2.1986305639310393,0.5761099143053081,0.5761099143053081,0.5498369631223666,0.5498369631223666,570.066407174503,905.5288866006573,0.2576726934253938,0.7125830089681287,0.2576726934253938,0.0,True
63,2.187637411111384,0.5761099143053081,0.5761099143053081,0.5498369631223666,0.5498369631223666,570.066407174503,905.5288866006573,0.2576726934253938,0.7125830089681287,0.2576726934253938,0.0,True
64,2.1766992240558274,0.5761099143053081,0.5761099143053081,0.5498369631223666,0.5498369631223666,570.066407174503,905.5288866006573,0.2576726934253938,0.7125830089681287,0.2576726934253938,0.0,True
65,2.165815727935548,0.5761099143053081,0.5761099143053081,0.5498369631223666,0.5498369631223666,570.066407174503,905.5288866006573,0.2576726934253938,0.7125830089681287,0.2576726934253938,0.0,True
66,2.1549866492958705,0.6211722300059092,0.6211722300059092,0.5498369631223666,0.5498369631223666,612.9856752244989,953.2480822081363,0.28269921394824193,0.7662320940306236,0.28269921394824193,0.0,True
67,2.144211716049391,0.6211722300059092,0.6211722300059092,0.5498369631223666,0.5498369631223666,612.9856752244989,953.2480822081363,0.28269921394824193,0.7662320940306236,0.28269921394824193,0.0,True
68,2.133490657469144,0.6211722300059092,0.6211722300059092,0.5498369631223666,0.5498369631223666,612.9856752244989,953.2480822081363,0.28269921394824193,0.7662320940306236,0.28269921394824193,0.0,True
69,2.1228232041817985,0.6211722300059092,0.6211722300059092,0.5498369631223666,0.5498369631223666,612.9856752244989,953.2480822081363,0.28269921394824193,0.7662320940306236,0.28269921394824193,0.0,True
70,2.1122090881608897,0.7262809174639455,0.7262809174639455,0.5498369631223666,0.5498369631223666,739.8602944612622,1173.625550937919,0.26301053270113706,0.9248253680765778,0.26301053270113706,0.0,True
