情景,年度信贷总额_万元,实际放贷金额_万元,剩余额度_万元,放贷企业数,平均信用得分下降,风险等级上调企业数,新增高风险池企业数,新增一票否决企业数,额度削减总额_万元,加权平均利率,基准放贷金额_万元,基准放贷企业数,基准加权平均利率,是否用满额度,低风险放贷数,较低风险放贷数,中风险放贷数,高风险放贷数
mild,10000.000000,10000.000000,0.000000,204,1.773477,34,18,3,2311.243265,0.090000,10000.000000,151,0.078140,是,7,73,107,17
base,10000.000000,10000.000000,0.000000,213,2.362646,46,26,5,2574.095595,0.092364,10000.000000,151,0.078140,是,6,67,106,34
severe,10000.000000,9000.000000,1000.000000,184,3.193472,63,35,6,2808.368277,0.091413,10000.000000,151,0.078140,否,4,63,103,14
