年度信贷总额_万元,实际放贷金额_万元,剩余额度_万元,放贷企业数,一票否决企业数,高风险池企业数,低风险放贷数,较低风险放贷数,中风险放贷数,高风险放贷数,加权平均利率,是否用满额度,未用满原因
5000.000000,5000.000000,0.000000,64,23,77,18,46,0,0,0.064878,是,
8000.000000,8000.000000,0.000000,111,23,77,18,78,15,0,0.070306,是,
10000.000000,10000.000000,0.000000,151,23,77,18,78,55,0,0.078140,是,
12000.000000,12000.000000,0.000000,191,23,77,18,78,95,0,0.083533,是,
15000.000000,15000.000000,0.000000,279,23,77,18,78,110,73,0.090219,是,
20000.000000,15620.000000,4380.000000,279,23,77,18,78,110,73,0.089209,否,通过风控门槛企业的风险等级额度上限合计低于年度信贷总额
